timestamp_norm (s),x_uwb,y_uwb,x_odom,y_odom,rmse_xy,voxel_value
0.497950423,0.0,0.0,-0.0124560786178623,-0.0054673302300268,0.01360314648816704,62.5
0.6983383900000001,0.0,0.0,-0.0124560786178623,-0.0054673302300268,0.01360314648816704,62.5
0.998530735,0.0,0.0,-0.0124560859941265,-0.0054673335916636,0.013603154593534823,62.5
1.1990438090000002,0.0,0.0,-0.0124561228441737,-0.0054673474550303,0.01360319390816628,62.5
1.4982657890000002,0.0,0.0,-0.0124561724464182,-0.0054673685152533,0.013603247792218264,62.5
1.698007014,0.0,0.0,-0.0227285474956646,-0.0057002450426398,0.02343244897164659,62.5
1.998275028,0.0,0.0,-0.117699775292297,-0.0079580668763062,0.11796850398417777,62.5
2.198049262,0.0,0.0,-0.2168772191605321,-0.0117625450796429,0.21719596142091616,62.5
2.498264174,0.0,0.0,-0.3576107227731757,-0.0172397376166647,0.3580260292149784,62.5
2.698258453,0.0,0.0,-0.4576948556305809,-0.0213026887756755,0.45819033754518607,62.5
2.9981088700000003,0.0,0.0,-0.6174834007904232,-0.0279178003594306,0.6181141915767793,62.5
3.1982378920000003,0.0,0.0,-0.7173125800991134,-0.0321564168378409,0.718032988596134,62.5
3.498270955,0.0,0.0,-0.8573245460747836,-0.038616634919215,0.8581938136544784,62.5
3.697943851,0.0,0.0,-0.9569716055050846,-0.0433084701537931,0.9579510829525907,62.5
3.998360674,-0.5,0.0,-1.116620758148794,-0.0509375283931065,0.6187210932066176,62.5
4.198013637,-0.5,0.0,-1.216464500772754,-0.056137025969508,0.7186603833190284,62.5
4.497935516,-0.5,0.0,-1.355920988870311,-0.062276379349531,0.8581835972643719,62.5
4.698258131,-0.5,0.0,-1.4557959155218034,-0.0673742511384885,0.9581675854695955,62.5
4.997930565,-0.5,0.0,-1.6150302845108904,-0.0846023707938493,1.1182352599164351,62.5
5.198030597000001,-0.5,0.0,-1.7132803104429164,-0.1011985473809046,1.2174934323028048,62.5
5.497929508,-1.0,-0.1999999999999997,-1.84987161388855,-0.1315398826946422,0.8526245057204208,68.75
5.698242990000001,-1.0,-0.1999999999999997,-1.945042271391291,-0.1618278040309803,0.945812883852566,68.75
5.997906693,-1.0,-0.1999999999999997,-2.097468567395496,-0.211199496707365,1.0975257104722516,68.75
6.198261035000001,-1.5,-0.2999999999999998,-2.192267541674804,-0.2432980474360076,0.6945858195219979,68.75
6.497953012,-1.5,-0.2999999999999998,-2.32360941992917,-0.2914815040280186,0.8236534716552152,68.75
6.697968146,-1.5,-0.2999999999999998,-2.4167677469584885,-0.3286794024853021,0.9172162285907599,68.75
6.997922841,-1.5,-0.2999999999999998,-2.5639019081306214,-0.3931428472918239,1.0679713760797174,68.75
7.198022443,-1.5,-0.2999999999999998,-2.655547934785901,-0.4329165726715842,1.1631671611934038,68.75
7.497934055000001,-1.5,-0.2999999999999998,-2.783439539205001,-0.4893059091554639,1.2973256252907064,68.75
7.697943667,-1.5,-0.2999999999999998,-2.8754674074602184,-0.5281086311728115,1.3942539713412576,68.75
7.997919969000001,-2.0999999999999943,-0.5999999999999999,-3.0261916628569256,-0.5817193823942529,0.9263720512438484,68.75
8.197939899,-2.0999999999999943,-0.5999999999999999,-3.1217648149659647,-0.6101407815059489,1.02181513619245,68.75
8.497927815,-2.0999999999999943,-0.5999999999999999,-3.258525368278811,-0.6409813467116391,1.1592499729238157,68.75
8.697921075,-2.0999999999999943,-0.5999999999999999,-3.3570130485779064,-0.6545076449740438,1.2581942964644819,68.75
8.997918049,-2.5999999999999943,-0.7999999999999998,-3.517332622763226,-0.6573932366145742,0.9283511349424507,68.75
9.198255986,-2.5999999999999943,-0.7999999999999998,-3.617248036867518,-0.6557851777523527,1.0274198185098198,68.75
9.498263824,-2.5999999999999943,-0.7999999999999998,-3.7573712084973705,-0.6539203042923472,1.166553638611066,68.75
9.697988521,-2.5999999999999943,-0.7999999999999998,-3.85202141591732,-0.6528265252971591,1.2606417641708259,68.75
9.998066273,-2.5999999999999943,-0.7999999999999998,-3.9266479737066464,-0.6522582946223829,1.3348492265600083,68.75
10.198273558,-3.199999999999996,-0.7999999999999998,-3.93041391264905,-0.6520832737695486,0.7452407944349488,68.75
10.49827082,-3.199999999999996,-0.7999999999999998,-3.930426845242215,-0.65231085909664,0.7452083323415493,68.75
10.698253183,-3.199999999999996,-0.7999999999999998,-3.9304230059451086,-0.6524160334172227,0.7451837322474237,68.75
10.997997227,-3.199999999999996,-0.7999999999999998,-3.930422297361616,-0.6525255480834665,0.7451613559834596,68.75
11.198233808,-3.199999999999996,-0.7999999999999998,-3.930420684014513,-0.6525693117073796,0.7451511145309185,68.75
11.498284788,-3.199999999999996,-0.7999999999999998,-3.930418539642448,-0.6526095817996953,0.7451410459977847,68.75
11.698283799,-3.199999999999996,-0.7999999999999998,-3.930417076991604,-0.6526288055624663,0.7451358099775568,68.75
11.998329514,-3.199999999999996,-0.7999999999999998,-3.930414806486231,-0.6526487673127581,0.7451296365792824,68.75
12.200396003000002,-3.199999999999996,-0.7999999999999998,-3.930413363274315,-0.6526560466135668,0.745126782399643,68.75
12.498263196,-3.199999999999996,-0.7999999999999998,-3.9304115919584,-0.6526646936077609,0.7451233362181758,68.75
12.698265846,-3.199999999999996,-0.7999999999999998,-3.930410306972485,-0.6526696088937262,0.7451211047039084,68.75
12.998236291,-3.199999999999996,-0.7999999999999998,-3.93040832584318,-0.6526749068458069,0.745118115156204,68.75
13.198258674000002,-3.199999999999996,-0.7999999999999998,-3.930407113804748,-0.6526775605695898,0.7451164023535616,68.75
13.498229597000002,-3.199999999999996,-0.7999999999999998,-3.9304054741168097,-0.6526800804542158,0.7451142968127665,68.75
13.698245429,-3.699999999999996,-0.7,-3.930404332947831,-0.6526820309412525,0.23521298186320677,75.0
13.998269624,-3.699999999999996,-0.7,-3.930402562278848,-0.6526856410902733,0.2352105211585965,75.0
14.198235738,-3.699999999999996,-0.7,-3.930401487096609,-0.6526879957663312,0.23520899430280587,75.0
14.498345479,-3.699999999999996,-0.7,-3.9304000215916175,-0.6526911456760653,0.23520692516774,75.0
14.698241926,-3.699999999999996,-0.7,-3.9303990045750297,-0.6526932523034141,0.23520550522212427,75.0
14.997925471,-3.699999999999996,-0.7,-3.930397424682989,-0.65269638692511,0.2352033271671432,75.0
15.198060827,-3.699999999999996,-0.7,-3.930396466470054,-0.6526982244220308,0.23520201898520576,75.0
15.49824983,-3.699999999999996,-0.7,-3.930395160365234,-0.6527006279147755,0.2352002562060256,75.0
15.69823943,-3.699999999999996,-0.7,-3.930394253513478,-0.6527022688284876,0.23519903789345556,75.0
15.998250513,-3.699999999999996,-0.7,-3.930392845986837,-0.6527048519936411,0.23519713966555694,75.0
16.198259503000003,-3.699999999999996,-0.7,-3.9303919907564975,-0.6527063879912794,0.23519599303894437,75.0
16.498883691,-3.699999999999996,-0.7,-3.963792649784123,-0.6519362811288595,0.2681355686063583,75.0
16.698277788000002,-3.699999999999996,-0.7,-4.035695886471308,-0.652541225967358,0.33903401514662435,75.0
16.998362471,-3.699999999999996,-0.7,-4.196183002126017,-0.6543681823575328,0.498276865186561,75.0
17.198260911000002,-3.699999999999996,-0.7,-4.2957288903015405,-0.6546627839704179,0.5974515661517864,75.0
17.498228848,-3.699999999999996,-0.7,-4.43603853617203,-0.6537206578820663,0.7374920367279497,75.0
17.698224199000002,-3.699999999999996,-0.7,-4.536038641823214,-0.6533152856982195,0.8373410733811217,75.0
17.998217491000002,-3.699999999999996,-0.7,-4.697234586342267,-0.6518469607066926,0.9983964820603201,75.0
18.198244622,-4.199999999999996,-0.8999999999999999,-4.797141420087846,-0.6517891079825311,0.6466734280149774,75.0
18.498254156,-4.199999999999996,-0.8999999999999999,-4.936734616405714,-0.6513981532874584,0.7775479234101056,75.0
18.698258931,-4.199999999999996,-0.8999999999999999,-5.037362641724737,-0.651298636526976,0.8735150610891486,75.0
18.997945374,-4.199999999999996,-0.8999999999999999,-5.196916894916075,-0.6519423525509168,1.0273148941912071,75.0
19.198234813000003,-4.199999999999996,-0.8999999999999999,-5.2968762429335055,-0.6530122419944635,1.124340004143112,75.0
19.497923833,-4.699999999999996,-1.0,-5.43708607796992,-0.6536768859768488,0.8143927711146374,75.0
19.697930355,-4.699999999999996,-1.0,-5.5368796387212615,-0.6548680049184484,0.9052533478177303,75.0
19.998019232,-4.699999999999996,-1.0,-5.696595130644522,-0.6559059061192859,1.0543256612014953,75.0
20.197946683,-4.699999999999996,-1.0,-5.796451786865149,-0.6571311159935591,1.1488105120252035,75.0
20.498242660000003,-4.699999999999996,-1.0,-5.936269899581695,-0.6591443304467467,1.2823984763240872,75.0
20.698314862,-5.299999999999997,-1.1,-6.036291541249518,-0.6603216536270496,0.8575793152734315,75.0
20.999666188000003,-5.299999999999997,-1.1,-6.196150313872593,-0.6630036252034274,0.997021171610362,75.0
21.19824504,-5.299999999999997,-1.1,-6.296509402246088,-0.664152631588532,1.087655238260757,75.0
21.498026128000003,-5.299999999999997,-1.1,-6.436755253491439,-0.6663191991049997,1.2166723237607246,75.0
21.697917649,-5.899999999999999,-1.1,-6.536775036848623,-0.6668257307374881,0.7701443988660039,75.0
21.997903562,-5.899999999999999,-1.1,-6.696656265600038,-0.6636752283290605,0.908317407018878,75.0
22.198033071,-5.899999999999999,-1.1,-6.796695509006834,-0.6609215514111653,0.9984251198203125,75.0
22.498258934000003,-5.899999999999999,-1.1,-6.936688652649137,-0.657237659108907,1.1272807339091917,75.0
22.698337259,-5.899999999999999,-1.1,-7.036563468415907,-0.6551372350281586,1.2205242305648798,75.0
22.998283501000003,-6.5,-1.0,-7.1611444767630585,-0.6523096272471023,0.7469943871672313,75.0
23.198634103,-6.5,-1.0,-7.189137111711944,-0.6515150822875578,0.7722381087538535,75.0
23.498258102,-6.5,-1.0,-7.191446868282456,-0.6514525570277584,0.7743281550222125,75.0
23.697970244,-6.5,-1.0,-7.191445688843353,-0.6514425806573305,0.7743315925357045,75.0
23.997911148,-6.5,-1.0,-7.191443630243704,-0.6514228981090275,0.7743386144105829,75.0
24.198033804,-6.5,-1.0,-7.191442398359663,-0.6514116645039394,0.7743425714070465,75.0
24.498271156,-6.5,-1.0,-7.191440971050076,-0.651409264020695,0.7743423775419149,75.0
24.697924988,-6.5,-1.0,-7.1914400092253326,-0.6514090634599441,0.7743416089784929,75.0
24.997911046,-6.5,-1.0,-7.191438533206247,-0.6514095308342946,0.7743400805818932,75.0
25.198054251,-6.5,-1.0,-7.191437688612214,-0.6514124442059033,0.7743380148797445,75.0
25.498638449,-6.5,-1.0,-7.191436503192566,-0.6514162688428222,0.7743352346203957,75.0
25.698318773,-6.5,-1.0,-7.191435739465061,-0.6514195868699928,0.7743330589788106,75.0
25.998387711000003,-6.5,-1.0,-7.191434528570438,-0.6514253934378235,0.774329363797732,75.0
26.198332139,-6.5,-1.0,-7.191433791235556,-0.6514288507758265,0.7743271490357521,75.0
26.498291434,-6.5,-1.0,-7.191432771066177,-0.6514328492732167,0.7743244381201205,75.0
26.698737228,-6.5,-1.0,-7.1914320541245536,-0.6514351524484465,0.7743227611400412,75.0
26.998282876,-6.5,-1.0,-7.191430940387195,-0.6514387585992625,0.7743201433073689,75.0
27.198303802,-6.5,-1.0,-7.192005053317203,-0.6509516418143797,0.775052095132077,75.0
27.498287960000003,-6.5,-1.0,-7.192115783019126,-0.6508326372464054,0.7752045564342863,75.0
27.697896121000003,-6.5,-1.0,-7.193991477412854,-0.6511234228932723,0.7767490178786078,75.0
27.997957862000003,-6.5,-1.0,-7.261753060059061,-0.6498030573521327,0.8383946702772255,75.0
28.198225564,-6.5,-1.0,-7.352671977974882,-0.6464422524414334,0.9230669438790913,75.0
28.498228743,-6.5,-1.0,-7.494140120887654,-0.6378302999077509,1.0580555144336377,75.0
28.69825282,-7.099999999999994,-1.0,-7.593895929435578,-0.6324814966570262,0.6156322273991987,75.0
28.998320078000003,-7.099999999999994,-1.0,-7.753919593450936,-0.6230917691960585,0.7547652940794259,75.0
29.198237989000003,-7.099999999999994,-1.0,-7.854760959214448,-0.6180088234290596,0.8459204244681492,75.0
29.497938948,-7.099999999999994,-1.0,-7.994320454914087,-0.6107334261713379,0.9753653374905502,75.0
29.698252946,-7.099999999999994,-1.0,-8.094498340623824,-0.6056868117478151,1.0698176666765014,75.0
29.998243704000004,-7.599999999999994,-1.1,-8.253986068251177,-0.5992693207180073,0.8236680099656936,68.75
30.198211383,-7.599999999999994,-1.1,-8.354019265784949,-0.5953338921645485,0.9073218467405408,68.75
30.497970156,-7.599999999999994,-1.1,-8.493999182661243,-0.5909479069894404,1.0287704175361052,68.75
30.697923791,-7.599999999999994,-1.1,-8.593964766799719,-0.5897700430477163,1.1172737205406558,68.75
30.997910296,-8.299999999999997,-1.0,-8.754066553614665,-0.5893528691246317,0.6122152409142344,68.75
31.197923912,-8.299999999999997,-1.0,-8.853661353189754,-0.5895150494423232,0.6892305772745799,68.75
31.498251654,-8.299999999999997,-1.0,-8.994276712244778,-0.588510592371157,0.8070586631442341,68.75
31.697904969000003,-8.299999999999997,-1.0,-9.093749741028423,-0.5877820437273902,0.8944061129354276,68.75
31.99818347,-8.299999999999997,-1.0,-9.253742932539556,-0.5868971973004987,1.0393649536940044,68.75
32.198149173000004,-8.299999999999997,-1.0,-9.3539966738434,-0.5862098455611624,1.1323123599005145,68.75
32.498260603,-8.799999999999997,-1.0,-9.494299498107578,-0.5847543521504336,0.8089998400064397,75.0
32.698273231,-8.799999999999997,-1.0,-9.59409253895042,-0.5836420786988399,0.8966252723668635,75.0
32.998070523,-8.799999999999997,-1.0,-9.754347890204746,-0.5825033602315587,1.0416733363949544,75.0
33.197921175000005,-8.799999999999997,-1.0,-9.854033189112162,-0.582374952871721,1.1337533434300677,75.0
33.498265994,-9.299999999999995,-1.0,-9.99420248709072,-0.5815328666864193,0.810575002542413,75.0
33.698244432,-9.299999999999995,-1.0,-10.09439142454588,-0.5814162958764866,0.8979254160284136,75.0
33.998254065000005,-9.299999999999995,-1.0,-10.25501489787206,-0.5809404243773575,1.0429114934061374,75.0
34.198228519000004,-9.299999999999995,-1.0,-10.352544133212731,-0.5807510654729335,1.132969029348389,75.0
