timestamp_norm (s),x_uwb,y_uwb,x_odom,y_odom,rmse_xy,voxel_value
0.6160522310000001,0.0,0.0,-0.0041501898853796,-0.0031514453241417,0.005211111562398345,75.0
0.8160591110000001,0.0,0.0,-0.0041501839177882,-0.0031514589464124,0.005211115047894314,75.0
1.116036274,0.0,0.0,-0.0041501746157404,-0.0031514801668672,0.005211120472920703,75.0
1.316850533,0.0,0.0,-0.004150168970834,-0.003151493042745,0.005211123764116861,75.0
1.615772699,0.0,0.0,-0.0041501612784769,-0.0031515105825767,0.0052111282453478295,75.0
1.815741055,0.0,0.0,-0.0041501559350505,-0.0031515227718596,0.005211131361497664,75.0
2.115724562,0.0,0.0,-0.0041501476224536,-0.0031515417064982,0.005211136192420503,75.0
2.3157782030000003,0.0,0.0,-0.0041501425850929,-0.0031515531850815,0.0052111391225910415,75.0
2.615712149,0.0,0.0,-0.0041501357206599,-0.003151568818703,0.005211143110577399,75.0
2.81569936,0.0,0.0,-0.004150130951798,-0.0031515796788831,0.0052111458806505,75.0
3.115758807,0.0,0.0,-0.0046013765525965,-0.0034742297613602,0.0057656689649602496,75.0
3.315708506,0.0,0.0,-0.0254013774965621,-0.0046395850453697,0.025821613584671072,75.0
3.615750752,0.0,0.0,-0.1239317593310894,-0.0075503971455698,0.12416154585037548,75.0
3.815743122,0.0,0.0,-0.2248148640184565,-0.0094857662580167,0.2250148947184137,75.0
4.115710937,0.0,0.0,-0.3855123733091195,-0.0134608670085471,0.38574730707427074,75.0
4.3157675730000005,0.0,0.0,-0.4862236471514237,-0.0137026650093617,0.48641669181637975,75.0
4.616034105000001,0.0,0.0,-0.6263718954761958,-0.0104983678093776,0.6264598687618412,75.0
4.815754019,0.0,0.0,-0.7264095402393153,-0.0098875511157924,0.7264768295119678,75.0
5.115807043,0.0,0.0,-0.8859597525871908,-0.0111469232687216,0.8860298737078312,75.0
5.315813735000001,0.0,0.0,-0.9864427553638506,-0.0100989294879962,0.9864944490399473,75.0
5.6160623670000005,0.0,0.0,-1.1271322418738174,-0.0085238543566051,1.1271644719226162,75.0
5.815701581000001,0.0,0.0,-1.2271248261561505,-0.0074180395399905,1.2271472471873046,75.0
6.115926765,-0.5,0.0999999999999996,-1.3875004158854165,-0.0056315027888046,0.8937645118140508,75.0
6.3158441000000005,-0.5,0.0999999999999996,-1.4874171431611924,-0.005457766472479,0.9930327059659086,75.0
6.616070917,-0.5,0.0999999999999996,-1.627317738272391,-0.0067763680763632,1.1323632260909737,75.0
6.816055509000001,-1.0,0.0999999999999996,-1.7274485921264635,-0.0073843331888626,0.7353317953150064,81.25
7.115708918,-1.0,0.0999999999999996,-1.886916854386816,-0.0131945812741881,0.8941110220913525,81.25
